"Item","Comment","Designator","Footprint","Quantity","TX_Qty","RX_Qty"
"1","100uF/10V","TX:C1; RX:C1","Capacitor_SMD:C_1210_3225Metric","2","1","1"
"2","22uF/10V","TX:C2,C3; RX:C2,C3","Capacitor_SMD:C_1206_3216Metric","4","2","2"
"3","0.1uF","TX:C4,C8; RX:C4,C8","Capacitor_SMD:C_0603_1608Metric","4","2","2"
"4","1uF","TX:C5,C6,C9; RX:C5,C6,C9","Capacitor_SMD:C_0805_2012Metric","6","3","3"
"5","22uF/6.3V","TX:C7; RX:C7","Capacitor_SMD:C_1206_3216Metric","2","1","1"
"6","10uF/10V","TX:C10","Capacitor_SMD:C_0805_2012Metric","1","1","0"
"7","SS34","TX:D1; RX:D1","Diode_SMD:D_SMA","2","1","1"
"8","2A","TX:F1; RX:F1","Fuse:Fuse_1206_3216Metric","2","1","1"
"9","BAT_1S","TX:J1; RX:J1","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","2","1","1"
"10","LD2450","TX:J2","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical","1","1","0"
"11","PROG","TX:J3; RX:J3","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","2","1","1"
"12","22uH","TX:L1; RX:L1","Inductor_SMD:L_12x12mm_H4.5mm","2","1","1"
"13","73.2k","TX:R1; RX:R1","Resistor_SMD:R_0805_2012Metric","2","1","1"
"14","10k","TX:R2,R3,R4; RX:R2,R3,R4","Resistor_SMD:R_0805_2012Metric","6","3","3"
"15","ESP32-C3-WROOM-02","TX:U1; RX:U1","RF_Module:ESP32-C3-WROOM-02","2","1","1"
"16","AP2112K-3.3","TX:U2; RX:U2","Package_TO_SOT_SMD:SOT-23-5","2","1","1"
"17","MT3608","TX:U3; RX:U3","Package_TO_SOT_SMD:SOT-23-6","2","1","1"
"18","RED","RX:LED1","LED_SMD:LED_0805_2012Metric","1","0","1"
"19","470R","RX:R5","Resistor_SMD:R_0805_2012Metric","1","0","1"
