"Refs","Value","Footprint","Qty","DNP"
"C1","100uF/10V","Capacitor_SMD:C_1210_3225Metric","1",""
"C2","22uF/10V","Capacitor_SMD:C_1206_3216Metric","1",""
"C3","22uF/10V","Capacitor_SMD:C_1206_3216Metric","1",""
"C4","0.1uF","Capacitor_SMD:C_0603_1608Metric","1",""
"C5","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","22uF/6.3V","Capacitor_SMD:C_1206_3216Metric","1",""
"C8","0.1uF","Capacitor_SMD:C_0603_1608Metric","1",""
"C9","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","10uF/10V","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","SS34","Diode_SMD:D_SMA","1",""
"F1","2A","Fuse:Fuse_1206_3216Metric","1",""
"J1","BAT_1S","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","1",""
"J2","LD2450","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical","1",""
"J3","PROG","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"L1","22uH","Inductor_SMD:L_12x12mm_H4.5mm","1",""
"LED1","RED","LED_SMD:LED_0805_2012Metric","1",""
"R1","73.2k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","470R","Resistor_SMD:R_0805_2012Metric","1",""
"U1","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","1",""
"U2","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1",""
"U3","MT3608","Package_TO_SOT_SMD:SOT-23-6","1",""
