Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/10V","C_1210_3225Metric",8.000000,-29.000000,0.000000,top
"C2","22uF/10V","C_1206_3216Metric",14.000000,-29.000000,0.000000,top
"C3","22uF/10V","C_1206_3216Metric",45.000000,-37.000000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",51.000000,-37.000000,0.000000,top
"C5","1uF","C_0805_2012Metric",24.000000,-26.000000,0.000000,top
"C6","1uF","C_0805_2012Metric",31.000000,-26.000000,0.000000,top
"C7","22uF/6.3V","C_1206_3216Metric",24.000000,-30.000000,0.000000,top
"C8","0.1uF","C_0603_1608Metric",31.000000,-30.000000,0.000000,top
"C9","1uF","C_0805_2012Metric",47.000000,-27.000000,0.000000,top
"D1","SS34","D_SMA",33.000000,-14.000000,0.000000,top
"F1","2A","Fuse_1206_3216Metric",22.000000,-22.000000,0.000000,top
"L1","22uH","L_12x12mm_H4.5mm",9.000000,-15.000000,0.000000,top
"LED1","RED","LED_0805_2012Metric",14.000000,-35.000000,0.000000,top
"R1","73.2k","R_0805_2012Metric",18.000000,-34.000000,0.000000,top
"R2","10k","R_0805_2012Metric",24.000000,-35.000000,0.000000,top
"R3","10k","R_0805_2012Metric",41.000000,-27.000000,0.000000,top
"R4","10k","R_0805_2012Metric",53.000000,-27.000000,0.000000,top
"R5","470R","R_0805_2012Metric",8.000000,-35.000000,0.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",50.000000,-7.000000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",29.000000,-23.000000,0.000000,top
"U3","MT3608","SOT-23-6",22.000000,-14.000000,0.000000,top
